@relation 'fin_table-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,6'

@attribute crop numeric
@attribute state {Orissa,'Andhra Pradesh',Rajasthan,Chhattisgarh,Gujarat,Haryana,'Madhya Pradesh','Tamil Nadu','Uttar Pradesh','Himachal Pradesh',Uttarakhand,Punjab,'Telangana ','Arunachal Pradesh','Jammu and Kashmir ',Kerala,Meghalaya}
@attribute district numeric
@attribute season numeric
@attribute year numeric
@attribute total_cost numeric
@attribute temp numeric
@attribute rainfall numeric
@attribute yield_ton_hect numeric

@data
17,Orissa,133,0,2012,16731.4,14.92,14.6,0.159091
3,'Madhya Pradesh',67,1,2012,22807.526,22.51,244.2,0.159336
17,Orissa,1,0,2012,16731.4,14.92,14.6,0.159996
10,'Tamil Nadu',138,0,2013,28439.484,15.305,29.5,0.160714
3,'Madhya Pradesh',67,0,2014,38761.065,15.065,20.1,0.16092
12,'Uttar Pradesh',177,1,2012,23873.127,22.51,138.83,0.161001
12,'Himachal Pradesh',177,1,2012,77081.462,22.51,164.58,0.161001
3,Orissa,120,0,2012,15277.9,14.92,14.6,0.161038
12,Orissa,120,0,2014,24694.3,15.065,10.9,0.161047
18,'Madhya Pradesh',109,1,2013,31704.2,23.0075,271.33,0.161118
12,'Andhra Pradesh',11,0,2012,19375.6,14.92,10.08,0.161907
12,Orissa,128,0,2014,24694.3,15.065,10.9,0.162025
4,'Madhya Pradesh',91,1,2012,20158,22.51,244.2,0.162132
7,'Andhra Pradesh',2,1,2012,70609.5,22.51,207.4,0.1625
16,Orissa,124,0,2012,24382.3,14.92,14.6,0.1625
4,'Madhya Pradesh',100,1,2014,25638.8,22.7575,187,0.162666
17,'Madhya Pradesh',66,1,2013,16961.965,23.0075,271.33,0.163265
3,Orissa,120,1,2013,16405.6,23.0075,308.5,0.16391
3,Orissa,122,1,2012,15277.9,22.51,262.43,0.164008
18,'Madhya Pradesh',100,1,2014,33433.4,22.7575,187,0.164548
16,Orissa,129,0,2013,22986.618,15.305,3.3,0.164706
16,Orissa,123,0,2012,24437.034,14.92,14.6,0.165714
12,Orissa,127,1,2012,12859.9,22.51,262.43,0.166667
18,'Andhra Pradesh',2,0,2012,34541.1,14.92,10.08,0.166667
12,Orissa,124,1,2013,15886.1,23.0075,308.5,0.166667
4,'Madhya Pradesh',65,0,2013,20336.1,15.305,10.93,0.166667
4,'Madhya Pradesh',107,0,2013,20336.1,15.305,10.93,0.166667
4,'Madhya Pradesh',68,0,2014,25638.8,15.065,20.1,0.166667
12,'Uttar Pradesh',168,1,2014,16090.9,22.7575,136,0.166667
17,Chhattisgarh,23,1,2012,25983.063,22.51,284.48,0.166667
3,'Madhya Pradesh',68,0,2013,35480.024,15.305,10.93,0.166667
3,'Madhya Pradesh',91,0,2013,33117.798,15.305,10.93,0.166667
3,'Madhya Pradesh',107,0,2013,32708.702,15.305,10.93,0.166667
10,'Tamil Nadu',151,0,2013,25628.015,15.305,29.5,0.166667
12,'Uttar Pradesh',193,1,2013,44708.443,23.0075,162.93,0.166667
7,'Uttar Pradesh',181,1,2014,42175.801,22.7575,136,0.166667
18,'Andhra Pradesh',2,1,2013,39446.8,23.0075,207.25,0.166974
12,'Uttar Pradesh',189,1,2012,40944.492,22.51,138.83,0.167742
17,Chhattisgarh,26,1,2012,25811.515,22.51,284.48,0.16905
3,Orissa,123,1,2012,15277.9,22.51,262.43,0.169231
16,Orissa,131,0,2012,22559.339,14.92,14.6,0.17
16,Orissa,126,0,2013,22986.618,15.305,3.3,0.170732
12,'Uttar Pradesh',199,1,2014,16090.9,22.7575,136,0.170819
12,Rajasthan,199,1,2014,16090.9,22.7575,62.33,0.170819
12,'Uttar Pradesh',186,1,2014,16090.9,22.7575,136,0.170923
16,Orissa,1,0,2013,22984.372,15.305,3.3,0.170963
12,'Uttar Pradesh',174,1,2014,16090.9,22.7575,136,0.170986
3,Chhattisgarh,31,0,2012,16545.034,14.92,11.88,0.171233
3,'Madhya Pradesh',78,1,2012,22792.99,22.51,244.2,0.171813
12,Orissa,124,2,2014,24694.3,23.8,313.95,0.171982
12,Orissa,123,0,2012,12859.9,14.92,14.6,0.172072
12,'Uttar Pradesh',157,1,2014,16090.9,22.7575,136,0.172185
12,Uttarakhand,211,1,2012,97196.441,22.51,257.98,0.172414
12,Orissa,120,0,2012,12859.9,14.92,14.6,0.173062
4,'Madhya Pradesh',95,1,2014,25638.8,22.7575,187,0.173647
4,Orissa,125,2,2014,21957.6,23.8,313.95,0.173684
12,Orissa,124,1,2012,12859.9,22.51,262.43,0.173913
3,'Madhya Pradesh',102,0,2012,27393.006,14.92,1.55,0.173913
12,'Uttar Pradesh',184,1,2014,16090.9,22.7575,136,0.173996
3,'Madhya Pradesh',107,1,2012,29603.616,22.51,244.2,0.174609
4,'Madhya Pradesh',69,1,2012,20158,22.51,244.2,0.174853
3,'Madhya Pradesh',69,1,2012,23013.309,22.51,244.2,0.175273
4,'Madhya Pradesh',107,0,2014,25638.8,15.065,20.1,0.176471
12,'Uttar Pradesh',196,1,2013,38200.931,23.0075,162.93,0.176471
12,Orissa,132,0,2013,15886.1,15.305,3.3,0.177007
4,Orissa,124,1,2012,13917.7,22.51,262.43,0.177419
4,'Madhya Pradesh',84,1,2013,20336.1,23.0075,271.33,0.178571
12,Orissa,128,0,2012,12859.9,14.92,14.6,0.178836
12,Orissa,124,2,2012,12859.9,23.675,288.33,0.179018
4,Chhattisgarh,30,0,2012,16547.509,14.92,11.88,0.179487
12,'Uttar Pradesh',200,1,2013,68429.036,23.0075,162.93,0.179487
3,Orissa,238,1,2012,15277.9,22.51,262.43,0.18
3,'Madhya Pradesh',90,1,2012,22808.413,22.51,244.2,0.180705
3,'Madhya Pradesh',100,1,2012,22747.279,22.51,244.2,0.180746
17,Orissa,238,0,2012,16731.4,14.92,14.6,0.181
18,'Madhya Pradesh',95,1,2014,33433.4,22.7575,187,0.18139
3,'Madhya Pradesh',91,1,2012,22748.128,22.51,244.2,0.181818
7,'Uttar Pradesh',194,1,2014,42611.834,22.7575,136,0.181818
12,'Uttar Pradesh',189,1,2013,47265.678,23.0075,162.93,0.18192
4,Orissa,124,1,2013,15777,23.0075,308.5,0.181955
12,'Uttar Pradesh',181,1,2012,23160.99,22.51,138.83,0.181981
3,Orissa,128,0,2012,15277.9,14.92,14.6,0.182002
16,Orissa,122,0,2012,24563.615,14.92,14.6,0.182203
12,'Uttar Pradesh',169,1,2013,1992.325,23.0075,162.93,0.182796
4,'Madhya Pradesh',107,1,2014,25638.8,22.7575,187,0.183014
12,'Uttar Pradesh',188,1,2013,29718.058,23.0075,162.93,0.184014
12,'Uttar Pradesh',180,1,2013,29097.881,23.0075,162.93,0.184615
3,Orissa,238,0,2014,25455.935,15.065,10.9,0.184868
16,Orissa,125,0,2014,22037.827,15.065,10.9,0.184973
16,Orissa,1,0,2012,24409.667,14.92,14.6,0.184977
12,'Uttar Pradesh',201,1,2013,71330.53,23.0075,162.93,0.185185
12,'Uttar Pradesh',205,1,2013,30697.896,23.0075,162.93,0.185567
12,'Uttar Pradesh',207,1,2013,35872.197,23.0075,162.93,0.185859
3,'Uttar Pradesh',188,1,2014,29938.964,22.7575,136,0.18597
12,'Uttar Pradesh',170,1,2013,3553.853,23.0075,162.93,0.186441
12,'Uttar Pradesh',183,1,2013,29503.207,23.0075,162.93,0.186567
12,'Uttar Pradesh',155,1,2013,27949.319,23.0075,162.93,0.186667
4,'Madhya Pradesh',90,1,2012,20158,22.51,244.2,0.186871
16,Orissa,131,0,2013,22986.618,15.305,3.3,0.186885
12,'Uttar Pradesh',175,1,2013,6033.44,23.0075,162.93,0.186959
12,'Uttar Pradesh',160,1,2013,15075.972,23.0075,162.93,0.187234
12,'Uttar Pradesh',253,1,2013,34832.836,23.0075,162.93,0.18741
3,Orissa,125,1,2012,15277.9,22.51,262.43,0.1875
3,'Madhya Pradesh',84,1,2012,22792.99,22.51,244.2,0.1875
12,'Uttar Pradesh',179,1,2013,30074.557,23.0075,162.93,0.1875
4,'Madhya Pradesh',78,1,2012,20158,22.51,244.2,0.187835
9,Chhattisgarh,27,1,2012,25769.698,22.51,284.48,0.188064
4,Orissa,131,0,2013,15777,15.305,3.3,0.188235
12,'Uttar Pradesh',164,1,2013,15560.937,23.0075,162.93,0.188285
3,Orissa,238,0,2013,16405.6,15.305,3.3,0.188406
12,'Uttar Pradesh',192,1,2013,38806.467,23.0075,162.93,0.188544
12,'Uttar Pradesh',191,1,2013,49050.994,23.0075,162.93,0.188552
12,'Uttar Pradesh',166,1,2013,16049.376,23.0075,162.93,0.188679
12,'Uttar Pradesh',163,1,2013,15730.324,23.0075,162.93,0.189014
12,Orissa,124,2,2013,15886.1,23.605,278.9,0.189063
4,'Madhya Pradesh',85,1,2014,25638.8,22.7575,187,0.189394
12,'Uttar Pradesh',159,1,2013,13522.04,23.0075,162.93,0.189655
4,Orissa,126,0,2012,13917.7,14.92,14.6,0.189982
12,'Uttar Pradesh',177,1,2014,16090.9,22.7575,136,0.189992
12,'Himachal Pradesh',177,1,2014,16090.9,22.7575,113.55,0.189992
4,Orissa,132,0,2013,15777,15.305,3.3,0.190009
12,'Uttar Pradesh',254,1,2013,28421.806,23.0075,162.93,0.190476
12,Uttarakhand,210,1,2012,97196.441,22.51,257.98,0.190476
17,'Madhya Pradesh',87,1,2012,39230.875,22.51,244.2,0.19096
12,'Uttar Pradesh',204,1,2012,37364.261,22.51,138.83,0.190977
3,Orissa,120,1,2014,26617.269,22.7575,318.85,0.191031
12,'Uttar Pradesh',156,1,2013,14299.504,23.0075,162.93,0.191489
12,'Uttar Pradesh',178,1,2013,29847.11,23.0075,162.93,0.191489
3,Orissa,120,2,2013,16405.6,23.605,278.9,0.191993
3,'Madhya Pradesh',84,0,2013,35371.068,15.305,10.93,0.192308
12,Uttarakhand,214,1,2012,97196.441,22.51,257.98,0.192308
4,'Madhya Pradesh',94,1,2012,20158,22.51,244.2,0.192788
18,'Telangana ',12,1,2012,22573.568,22.51,204.05,0.192995
12,Kerala,72,1,2012,32319.094,22.51,323.2,0.193108
7,'Uttar Pradesh',156,1,2014,41429.978,22.7575,136,0.19375
3,'Madhya Pradesh',98,1,2012,22682.631,22.51,244.2,0.194152
17,'Madhya Pradesh',65,1,2012,22916.114,22.51,244.2,0.194201
3,'Madhya Pradesh',98,1,2013,33179.498,23.0075,271.33,0.194467
18,'Madhya Pradesh',107,1,2013,31704.2,23.0075,271.33,0.194805
13,'Madhya Pradesh',80,0,2012,20541.916,14.92,1.55,0.194805
17,'Madhya Pradesh',109,1,2012,38254.608,22.51,244.2,0.195038
4,'Madhya Pradesh',87,1,2014,25638.8,22.7575,187,0.195181
3,'Madhya Pradesh',107,1,2013,28741.729,23.0075,271.33,0.195608
3,Orissa,125,0,2012,15277.9,14.92,14.6,0.196007
